X	Y
1021	654.556
1022	649.200
1023	640.400
1024	628.956
1025	620.556
1026	623.000
1027	617.467
1028	616.511
1029	610.044
1030	608.422
1031	604.978
1032	603.978
1033	596.978
1034	586.222
1035	575.711
1036	579.289
1037	578.911
1038	579.178
1039	571.222
1040	562.756
1041	554.933
1042	552.200
1043	551.244
1044	548.533
1045	546.600
1046	544.711
1047	547.400
1048	546.356
1049	550.911
1050	543.200
1051	535.689
1052	525.822
1053	523.422
1054	523.467
1055	529.489
1056	537.400
1057	538.467
1058	531.511
1059	523.556
1060	522.267
1061	524.667
1062	524.956
1063	524.933
1064	524.311
1065	524.067
1066	526.200
1067	533.244
